local;lg;vg;visitante;dia;Estadio;Youtube;fecha;resultado
Godoy Cruz;2;0;Argentinos Juniors;11/02/2007;Malvinas Argentinas;-;1;victoria
Arsenal de Sarandí;2;1;Godoy Cruz;17/02/2007;El Viaducto;-;2;derrota
Godoy Cruz;3;0;Quilmes;25/02/2007;Malvinas Argentinas;https://www.youtube.com/watch?v=55wg_UiKGDA;3;victoria
Gimnasia y Esgrima (J);2;1;Godoy Cruz;04/03/2007;23 de Agosto;https://www.youtube.com/watch?v=ug-MDvc5PNQ;4;derrota
Godoy Cruz;2;0;Colón de Santa Fé;11/03/2007;Malvinas Argentinas;-;5;victoria
Belgrano de Córdoba;3;2;Godoy Cruz;18/03/2007;Chateau Carreras;-;6;derrota
Godoy Cruz;0;1;Boca Juniors;25/03/2007;Malvinas Argentinas;https://www.youtube.com/watch?v=gmA3olcaFB0;7;derrota
Banfield;0;0;Godoy Cruz;30/03/2007;Florencio Sola;-;8;empate
Godoy Cruz;2;1;Rosario Central;08/04/2007;Malvinas Argentinas;https://www.youtube.com/watch?v=qcPj-pjosPM;9;victoria
Independiente de Avellaneda;0;2;Godoy Cruz;14/04/2007;El Cilindro;https://www.youtube.com/watch?v=rZTOM1w6zLE;10;victoria
Godoy Cruz;1;2;San Lorenzo;22/04/2007;Malvinas Argentinas;-;11;derrota
Estudiantes (LP);1;0;Godoy Cruz;27/04/2007;Ciudad de La Plata;https://www.youtube.com/watch?v=ZhsHNzv1FOw;12;derrota
Godoy Cruz;2;1;Gimnasia y Esgrima (LP);06/05/2007;Malvinas Argentinas;https://www.youtube.com/watch?v=mnd4lq4JncQ;13;victoria
Godoy Cruz;2;2;Lanús;13/05/2007;Malvinas Argentinas;-;14;empate
Nueva Chicago;0;0;Godoy Cruz;20/05/2007;Nueva Chicago;https://www.youtube.com/watch?v=xPZ9cEDgvJc;15;empate
Godoy Cruz;0;2;Vélez Sarsfield;27/05/2007;Malvinas Argentinas;https://www.youtube.com/watch?v=GTGYgA-nMZs;16;derrota
River Plate;0;1;Godoy Cruz;04/06/2007;José Amalfitani;https://www.youtube.com/watch?v=F621uGn94nc;17;victoria
Godoy Cruz;1;1;Newell's Olds Boys;10/06/2007;Malvinas Argentinas;https://www.youtube.com/watch?v=x-s4HYYPsQk;18;empate
Racing Club;4;2;Godoy Cruz;16/06/2007;El Cilindro;https://www.youtube.com/watch?v=CvGOmnqmE5I;19;derrota
Huracán de Parque Patricios;2;0;Godoy Cruz;20/06/2007;Tomás Adolfo Ducó;https://www.youtube.com/watch?v=w3WXe6Sn2BM;-;derrota
Godoy Cruz;2;3;Huracán de Parque Patricios;24/06/2007;Malvinas Argentinas;https://www.youtube.com/watch?v=sJQ4gJYDZ60;-;derrota
