#;Equipo;Pts;PJ;PG;PE;PP;GF;GC;DIF
1;Godoy Cruz;29;14;9;2;3;16;6;10
2;Estudiantes (LP);27;14;8;3;3;19;9;10
3;Def y Justicia;26;14;7;5;2;17;13;4
4;Boca Juniors;25;14;7;4;3;20;12;8
5;Racing Club;24;14;7;3;4;24;11;13
6;Lanus;23;14;7;2;5;20;14;6
7;Newells;21;14;6;3;5;13;15;-2
8;Union;20;14;5;5;4;16;14;2
9;Platense;18;14;4;6;4;10;14;-4
10;San Lorenzo;16;14;3;7;4;10;14;-4
11;Belgrano;14;14;3;5;6;19;21;-2
12;Central Cba (SdE);11;14;2;5;7;10;20;-10
13;Sarmiento (J);9;14;2;3;9;9;19;-10
14;Tigre;5;14;1;2;11;7;25;-18
