local;lg;vg;visitante;dia;Estadio;Youtube;fecha;resultado
Defensa y Justicia;1;1;Godoy Cruz;11/08/2007;Norberto Tomaghello;https://www.youtube.com/watch?v=R8FXH6W1GB8;1;empate
Godoy Cruz;3;2;Almirante Brown;18/08/2007;Malvinas Argentinas;-;2;victoria
Chacarita Juniors;3;2;Godoy Cruz;24/08/2007;Diego Armando Maradona (Arg. Jrs.);-;3;derrota
Godoy Cruz;1;0;Belgrano de Córdoba;01/09/2007;Malvinas Argentinas;-;4;victoria
Instituto de Córdoba;0;2;Godoy Cruz;08/09/2007;Monumental de Alta Córdoba;-;5;victoria
Atlético Rafaela;1;0;Godoy Cruz;16/09/2007;El Nuevo Monumental;-;6;derrota
Godoy Cruz;0;1;Unión de Santa Fé;22/09/2007;Malvinas Argentinas;-;7;derrota
CAI de Comodoro Rivadavia;1;0;Godoy Cruz;29/09/2007;Municipal de Comodoro Rivadavia;-;8;derrota
Godoy Cruz;3;2;Ferro Carril Oeste;04/10/2007;Malvinas Argentinas;-;9;victoria
Tiro Federal (Rosario);0;2;Godoy Cruz;14/10/2007;Fortín de Ludueña;-;10;victoria
Godoy Cruz;1;1;Platense;20/10/2007;Malvinas Argentinas;-;11;empate
Almagro;3;2;Godoy Cruz;26/10/2007;Tres de Febrero;-;12;derrota
Godoy Cruz;2;1;Aldosivi;02/11/2007;Malvinas Argentinas;-;13;victoria
Talleres de Córdoba;3;2;Godoy Cruz;11/11/2007;Mario Alberto Kempes;-;14;derrota
Godoy Cruz;3;2;Independiente Rivadavia;18/11/2007;Malvinas Argentinas;https://www.youtube.com/watch?v=Rkh6b91quSE;15;victoria
Ben Hur;1;2;Godoy Cruz;23/11/2007;Parque Barrio Ilolay;-;16;victoria
Godoy Cruz;2;1;Quilmes;27/11/2007;Malvinas Argentinas;-;17;victoria
San Martín (T);2;1;Godoy Cruz;03/12/2007;La Ciudadela;-;18;derrota
Godoy Cruz;0;2;Nueva Chicago;11/12/2007;Malvinas Argentinas;-;19;derrota
Godoy Cruz;2;0;Defensa y Justicia;08/02/2008;Malvinas Argentinas;https://www.youtube.com/watch?v=4ogE2L0llpc;20;victoria
Almirante Brown;0;0;Godoy Cruz;16/02/2008;Fragata Presidente Sarmiento;-;21;empate
Godoy Cruz;3;1;Chacarita Juniors;23/02/2008;Malvinas Argentinas;https://www.youtube.com/watch?v=NigSbKW4DmQ;22;victoria
Belgrano de Córdoba;3;0;Godoy Cruz;01/03/2008;Gigante de Alberdi;https://www.youtube.com/watch?v=F6Ie6tjPVNM;23;derrota
Godoy Cruz;3;0;Instituto de Córdoba;11/03/2008;Malvinas Argentinas;https://www.youtube.com/watch?v=6kribQxKY-g;24;victoria
Godoy Cruz;3;2;Atlético Rafaela;16/03/2008;Malvinas Argentinas;https://www.youtube.com/watch?v=DYgJdepKaFs;25;victoria
Unión de Santa Fé;0;1;Godoy Cruz;23/03/2008;15 de Abril;https://www.youtube.com/watch?v=VnMXa3QC0eA;26;victoria
Godoy Cruz;2;0;CAI de Comodoro Rivadavia;29/03/2008;Malvinas Argentinas;https://www.youtube.com/watch?v=hDJy7crjnVM;27;victoria
Ferro Carril Oeste;1;0;Godoy Cruz;05/04/2008;Ricardo Etcheverri;https://www.youtube.com/watch?v=-tNzqQBwsmA;28;derrota
Godoy Cruz;0;0;Tiro Federal;12/04/2008;Malvinas Argentinas;https://www.youtube.com/watch?v=5-9uyl1B8KU;29;empate
Platense;1;1;Godoy Cruz;19/04/2008;Ciudad de Vicente López;https://www.youtube.com/watch?v=BWTwWNXYm3k;30;empate
Godoy Cruz;1;1;Almagro;26/04/2008;Malvinas Argentinas;https://www.youtube.com/watch?v=xSsggbnQdoQ;31;empate
Aldosivi;2;3;Godoy Cruz;03/05/2008;José María Minella;https://www.youtube.com/watch?v=foq29LjALhY;32;victoria
Godoy Cruz;2;1;Talleres de Córdoba;08/05/2008;Malvinas Argentinas;https://www.youtube.com/watch?v=4-t0DpSFehQ;33;victoria
Independiente Rivadavia;0;1;Godoy Cruz;17/05/2008;Bautista Gargantini;https://www.youtube.com/watch?v=W8hMbr1Ru9Q;34;victoria
Godoy Cruz;0;1;Ben Hur;24/05/2008;Malvinas Argentinas;https://www.youtube.com/watch?v=e833_WG_NO8;35;derrota
Quilmes;0;0;Godoy Cruz;31/05/2008;Centenario Ciudad de Quilmes;-;36;empate
Godoy Cruz;2;0;San Martín (T);09/06/2008;Malvinas Argentinas;https://www.youtube.com/watch?v=joECtuLUqTM;37;victoria
Nueva Chicago;1;1;Godoy Cruz;14/06/2008;Diego Armando Maradona (Arg. Jrs.);https://www.youtube.com/watch?v=T9MTdeuCE3U;38;empate
